distrik,wilayah,ranting
Keuskupan Larantuka,Wilayah Larantuka & Solor,Katedral Reinha Rosari Larantuka
Keuskupan Larantuka,Wilayah Larantuka & Solor,Santa Maria Pembantu Abadi Weri
Keuskupan Larantuka,Wilayah Larantuka & Solor,San Juan Lebao
Keuskupan Larantuka,Wilayah Larantuka & Solor,Santo Ignasius Waibalun
Keuskupan Larantuka,Wilayah Larantuka & Solor,Santo Yosep Riangkemie
Keuskupan Larantuka,Wilayah Larantuka & Solor,Santo Lodovikus Waiklibang
Keuskupan Larantuka,Wilayah Larantuka & Solor,Santo Darius Riangpuho
Keuskupan Larantuka,Wilayah Larantuka & Solor,Santo Alfonsus de Liqouri Lewotala
Keuskupan Larantuka,Wilayah Larantuka & Solor,Santo Antonius Padua Leworahang
Keuskupan Larantuka,Wilayah Larantuka & Solor,Santo Herman Yosep Belogili
Keuskupan Larantuka,Wilayah Larantuka & Solor,Maria Diangkat ke Surga Bama
Keuskupan Larantuka,Wilayah Larantuka & Solor,Santa Maria Immaculata Lewolaga
Keuskupan Larantuka,Wilayah Larantuka & Solor,Santa Perawan Maria Lasalette Lato
Keuskupan Larantuka,Wilayah Larantuka & Solor,Santa Maria Ratu Semesta Alam Hokeng
Keuskupan Larantuka,Wilayah Larantuka & Solor,Kristus Raja Watobuku
Keuskupan Larantuka,Wilayah Larantuka & Solor,Santo Yosep Lewotobi
Keuskupan Larantuka,Wilayah Larantuka & Solor,Kunjungan Santa Perawan Maria Pamakayo
Keuskupan Larantuka,Wilayah Larantuka & Solor,Santo Yohanes Pembabtis Ritaebang
Keuskupan Larantuka,Wilayah Larantuka & Solor,Santo Fransiskus Xaverius Menanga
Keuskupan Larantuka,Wilayah Larantuka & Solor,Santo Mikael Kalike
Keuskupan Larantuka,Wilayah Larantuka & Solor,ULK SMAK Frateran Podor
Keuskupan Larantuka,Wilayah Larantuka & Solor,ULK SMAS Seminari Hokeng
Keuskupan Larantuka,Wilayah Larantuka & Solor,Santo Kornelius Pohon Bao
Keuskupan Larantuka,Wilayah Adonara,Kristus Raja Waiwerang
Keuskupan Larantuka,Wilayah Adonara,Santa Maria Hati Tak Bernoda Baniona
Keuskupan Larantuka,Wilayah Adonara,Santa Maria Goreti Waiwadan
Keuskupan Larantuka,Wilayah Adonara,Hati Kudus Yesus Ritawolo
Keuskupan Larantuka,Wilayah Adonara,Santo Tarsisius Koli-Sagu
Keuskupan Larantuka,Wilayah Adonara,Santa Teresia Kiwangona
Keuskupan Larantuka,Wilayah Adonara,Santo Martinus Hinga
Keuskupan Larantuka,Wilayah Adonara,Santa Maria Pembantu Abadi Witihama
Keuskupan Larantuka,Wilayah Adonara,Santo Werenfried Lambunga
Keuskupan Larantuka,Wilayah Adonara,Santo Yosep Tanaboleng
Keuskupan Larantuka,Wilayah Adonara,Santa Bernadete Soubirous Pukaona
Keuskupan Larantuka,Wilayah Adonara,Santo Yosep Lite
Keuskupan Larantuka,Wilayah Lembata,Santa Maria Banneaux Lewoleba
Keuskupan Larantuka,Wilayah Lembata,Santo Arnoldus Jansen Waikomo
Keuskupan Larantuka,Wilayah Lembata,Kristus Raja Wangatoa
Keuskupan Larantuka,Wilayah Lembata,Santo Fransiskus Asisi Lamahora
Keuskupan Larantuka,Wilayah Lembata,Salib Suci Hoelea
Keuskupan Larantuka,Wilayah Lembata,Santa Maria pembantu Abadi Aliuroba Kedang
Keuskupan Larantuka,Wilayah Lembata,Santa Maria Bintang Laut Waipukang
Keuskupan Larantuka,Wilayah Lembata,Santo Bernadus Abbas Tokojaeng
Keuskupan Larantuka,Wilayah Lembata,Santo Yosep Boto
Keuskupan Larantuka,Wilayah Lembata,Santo Petrus dan Paulus Lamalera
Keuskupan Larantuka,Wilayah Lembata,Santo Antonius Padua Kalikasa
Keuskupan Larantuka,Wilayah Lembata,Santo Yohanes Paulus II Wulandoni
Keuskupan Larantuka,Wilayah Lembata,Santa Maria Ratu Damai Mingar
Keuskupan Larantuka,Wilayah Lembata,Hati Amat Kudus Yesus Lerek
Keuskupan Larantuka,Wilayah Lembata,Santo Laurensius Hadakewa
Keuskupan Larantuka,Wilayah Lembata,Santo Wilhelmus Lodoblolong
Keuskupan Larantuka,Wilayah Lembata,Santo Fransiskus de Sales Pada
